id,path
35647,1 8 17 49 17 33 24 25 25 34 9 11
8674,12 65 42 43 67 43 6 11
56921,14 8 17 37 42 43 34 9 11
16574,1 8 49 5 65 75 76 66 6 50 9 4
22487,1 8 82 83 20 83 16 9 4
23144,12 17 5 19 82 33 24 25 34 9 4
16573,1 8 49 5 65 75 76 66 6 50 9 11
45214,14 8 37 42 43 29 6 9 4
6015,14 8 56 53 54 25 34 50 9 11
32729,14 8 13 5 75 58 59 25 34 20 9 11
36027,12 15 33 42 24 25 59 36 9 4
39927,68 42 24 25 59 36 9 4
6016,14 8 56 53 54 25 34 50 9 4
1208,1 8 35 58 24 25 25 3 11
36026,12 15 33 42 24 25 59 36 9 11
21176,12 17 35 53 54 25 34 6 11
28718,12 5 24 25 59 62 84 9 4
11062,14 8 5 70 42 24 25 55 9 4
39419,12 15 16 18 18 16 18 16 7
52810,1 8 15 65 42 24 42 24 25 43 76 74 9 4
28717,12 5 24 25 59 62 84 9 11
45215,14 8 37 42 43 29 6 9 11
39926,68 42 24 25 59 36 9 11
56850,14 8 17 35 53 54 64 50 9 4
11063,14 8 5 70 42 24 25 55 9 11
54667,1 8 98 33 24 25 54 34 7
52809,1 8 15 65 42 24 42 24 25 43 76 74 9 11
6427,1 8 56 24 96 97 74 9 11
32728,14 8 13 5 75 58 59 25 34 20 9 4
26134,14 8 21 82 33 24 25 34 6 9 11
56849,14 8 17 35 53 54 64 50 9 11
2568,1 8 37 42 43 67 25 43 76 81 9 4
2569,1 8 37 42 43 67 25 43 76 81 9 11
10164,14 8 35 42 43 25 34 7
1207,1 8 35 58 24 25 25 3 4
45317,1 8 49 33 34 16 50 20 9 4
6686,12 17 15 33 24 25 34 16 16 7
45318,1 8 49 33 34 16 50 20 9 11
46504,14 8 56 15 5 58 24 25 6 9 11
55080,12 17 61 53 54 60 9 11
32130,14 8 5 24 25 29 9 4
56344,12 33 24 25 43 6 9 4
28438,14 8 19 35 53 54 25 64 9 11
28574,14 8 15 33 24 25 59 76 74 9 11
28573,14 8 15 33 24 25 59 76 74 9 4
11254,12 5 24 42 43 67 25 43 6 11
48868,1 8 61 53 54 6 7
58876,14 8 33 24 70 42 24 70 42 24 25 43 66 9 4
32131,14 8 5 24 25 29 9 11
48865,1 8 61 53 54 6 11
57434,1 8 19 17 33 24 25 84 9 11
29185,14 8 46 19 20 16 7
28441,14 8 19 35 53 54 25 64 9 4
64343,12 33 24 25 43 6 9 11
11255,12 5 24 42 43 67 25 43 6 7
1732,1 8 35 58 59 25 43 36 20 16 9 4
48572,12 86 42 43 6 52 50 9 4
16227,12 86 75 76 87 6 50 9 4
50023,14 8 65 42 43 67 59 74 9 11
60480,14 8 15 82 33 24 42 43 67 34 50 9 11
36296,12 33 53 24 42 24 53 24 25 54 74 9 4
48573,12 86 42 43 6 52 50 9 11
50022,14 8 65 42 43 67 59 74 9 4
58877,14 8 33 24 70 42 24 70 42 24 25 43 66 9 11
16226,12 86 75 76 87 6 50 9 11
60479,14 8 15 82 33 24 42 43 67 34 50 9 4
40498,14 8 21 19 17 33 24 25 6 11
1737,1 8 35 58 59 25 43 36 20 16 9 11
54162,14 8 17 35 58 59 25 34 113 9 11
4335,14 8 61 75 76 36 9 11
50955,1 8 65 42 24 25 43 36 9 11
16836,14 8 49 24 24 24 25 50 50 9 4
32482,14 8 82 65 75 53 54 109 7
11319,14 8 73 53 54 34 9 11
54163,14 8 17 35 58 59 25 34 113 9 4
50956,1 8 65 42 24 25 43 36 9 4
